BSL,PER,M,TOTAL,DK	2876473 	2906881 	3069847 	3171800 	3228131 	3272742 	3315557 	3339396 	3335604 	3326569 
BSL,PER,M,TOTAL,EA19	166648743 	167361902 	169353919 	170420288 	169765770 	167426351 	165385224 	164279959 	163034242 	161147116 
BSL,PER,M,TOTAL,EE	621084 	625890 	628668 	617935 	607344 	591079 	568270 	547576 	531814 	519788 
BSL,PER,M,TOTAL,EL	5210040 	5184554 	5023253 	4863178 	4682322 	4434838 	4190261 	4014426 	3878315 	3733333 
BSL,PER,M,TOTAL,ES	22881882 	23082931 	23600572 	24172094 	24506660 	24278425 	23920017 	23899299 	23942191 	23727848 
BSL,PER,M,TOTAL,EU27_2020	217837027 	218502000 	219921940 	220270619 	218863009 	215415753 	211837651 	209363864 	207098311 	204358120 
BSL,PER,M,TOTAL,EU28	250546983 	251647340 	255345294 	257665143 	257834096 	255502808 	252956176 	251297201 	249433005 	246899449 
BSL,PER,M,TOTAL,FI	2719131 	2727474 	2758360 	2743155 	2706541 	2660660 	2614191 	2553454 	2475870 	2399428 
BSL,PER,M,TOTAL,FR	32370566 	32528296 	33551449 	34487591 	34961302 	35215627 	35628848 	36147843 	36488115 	36548982 
BSL,PER,M,TOTAL,HR	1981799 	1958615 	1857526 	1766223 	1660565 	1549709 	1441140 	1336775 	1240471 	1154155 
BSL,PER,M,TOTAL,HU	4671602 	4656907 	4575210 	4484123 	4404511 	4311442 	4183559 	4078554 	4000121 	3933795 
BSL,PER,M,TOTAL,IE	2392223 	2449600 	2620226 	2779156 	2921860 	3002799 	3050202 	3102123 	3135841 	3135300 
BSL,PER,M,TOTAL,IS	177600 	182724 	199633 	214094 	223729 	230140 	233809 	233819 	231083 	229159 
BSL,PER,M,TOTAL,IT	29427607 	29335996 	28809599 	28270126 	27424666 	26132163 	24945060 	24149745 	23344229 	22432524 
BSL,PER,M,TOTAL,LT	1297293 	1274594 	1133547 	1074386 	1025430 	970819 	913234 	865318 	821634 	784544 
BSL,PER,M,TOTAL,LU	302580 	314498 	372412 	422700 	461522 	490127 	513105 	529873 	541033 	549718 
BSL,PER,M,TOTAL,LV	889641 	877139 	808829 	774752 	751793 	727005 	700150 	681467 	670366 	661245 
BSL,PER,M,TOTAL,MT	240599 	251581 	300734 	332801 	349420 	358880 	360958 	353026 	341622 	334769 
BSL,PER,M,TOTAL,NL	8527041 	8616376 	8848706 	8930713 	8852541 	8748389 	8713252 	8664405 	8545232 	8416885 
BSL,PER,M,TOTAL,NO	2668371 	2707788 	2895074 	3042861 	3154385 	3228834 	3285892 	3328198 	3337975 	3330342 
BSL,PER,M,TOTAL,PL	18380299 	18371794 	18071927 	17470079 	16902637 	16279609 	15429595 	14609500 	14026382 	13594818 
BSL,PER,M,TOTAL,PT	4867692 	4853581 	4735703 	4584025 	4376330 	4119246 	3865315 	3651706 	3458990 	3269095 
BSL,PER,M,TOTAL,RO	9553249 	9423333 	8804816 	8486934 	8171099 	7786977 	7367141 	7032780 	6787907 	6575013 
BSL,PER,M,TOTAL,SE	5082662 	5201997 	5800468 	6311181 	6743024 	7049316 	7301318 	7502043 	7625124 	7701767 
BSL,PER,M,TOTAL,SI	1027041 	1035937 	1035190 	1022339 	1006426 	976919 	944037 	922793 	910948 	899363 
BSL,PER,M,TOTAL,SK	2656514 	2663050 	2644290 	2568567 	2488486 	2382725 	2241972 	2115108 	2021192 	1943375 
BSL,PER,M,TOTAL,UK	32709956 	33145340 	35423354 	37394524 	38971087 	40087055 	41118525 	41933337 	42334694 	42541329 
BSL,PER,T,TOTAL,AT	8822267 	8908676 	9364680 	9666339 	9836451 	9880512 	9889642 	9890748 	9865171 	9841786 
BSL,PER,T,TOTAL,BE	11398589 	11487179 	11911998 	12295636 	12571061 	12731525 	12897951 	13066355 	13157382 	13194772 
