PER,TOTAL,M,BSL,LU	281972 	314864 	377191 	428862 	465498 	490778 	510809 	525782 
PER,TOTAL,M,BSL,LV	911207 	878629 	805879 	744629 	710169 	681792 	648436 	626099 
PER,TOTAL,M,BSL,MT	214735 	226520 	244654 	253289 	257225 	260534 	260997 	258760 
PER,TOTAL,M,BSL,NL	8372858 	8647303 	9150085 	9466035 	9573847 	9642359 	9786065 	9897480 
PER,TOTAL,M,BSL,NO	2599202 	2723042 	2962304 	3152417 	3299223 	3415446 	3512421 	3589607 
PER,TOTAL,M,BSL,PL	18397163 	18355173 	17994540 	17326287 	16686977 	16011798 	15131135 	14271182 
PER,TOTAL,M,BSL,PT	4923666 	4844044 	4691942 	4545356 	4351677 	4107735 	3884109 	3712686 
PER,TOTAL,M,BSL,RO	9707074 	9391995 	8781001 	8326592 	7987194 	7687623 	7369328 	7152574 
PER,TOTAL,M,BSL,SE	4872240 	5155816 	5633537 	6012957 	6362894 	6668401 	6953072 	7229652 
PER,TOTAL,M,BSL,SI	1022229 	1031049 	1035253 	1027163 	1016620 	995000 	972683 	964460 
PER,TOTAL,M,BSL,SK	2642328 	2660887 	2663063 	2619620 	2571835 	2504559 	2408391 	2324327 
PER,TOTAL,M,BSL,UK	31947040 	33200630 	35437495 	37199140 	38545980 	39524496 	40443267 	41223277 
PER,TOTAL,T,BSL,AT	8576261 	9005487 	9675572 	10087623 	10247691 	10230993 	10171555 	10072112 
PER,TOTAL,T,BSL,BE	11208986 	11580268 	12264124 	12844259 	13273155 	13580693 	13888154 	14189456 
PER,TOTAL,T,BSL,BG	7202198 	6954254 	6408361 	5933535 	5564146 	5225824 	4871873 	4593415 
PER,TOTAL,T,BSL,CY	847008 	869041 	919997 	954320 	984402 	1011947 	1019473 	1004870 
PER,TOTAL,T,BSL,CZ	10538275 	10652407 	10691890 	10552301 	10478190 	10307640 	9983111 	9777734 
PER,TOTAL,T,BSL,DE	81197537 	83751689 	84613298 	84133642 	82686973 	80831728 	79292754 	77793794 
PER,TOTAL,T,BSL,DK	5659715 	5887449 	6298421 	6564333 	6685016 	6756166 	6826143 	6858258 
PER,TOTAL,T,BSL,EE	1313271 	1317940 	1306181 	1283732 	1256975 	1221012 	1178364 	1140304 
PER,TOTAL,T,BSL,EL	10858018 	10560467 	9944658 	9419973 	8918545 	8294677 	7685925 	7264686 
PER,TOTAL,T,BSL,ES	46449565 	46562044 	47110106 	48244792 	49257477 	49556550 	49827868 	50988206 
PER,TOTAL,T,BSL,EU28	508401408 	515591288 	523827302 	528357270 	528567808 	524635534 	520393410 	518798375 
