"country.name","year","agriculture.ghg.emissions.mio.tonnes","energy.ghg.emissions.mio.tonnes","industry.ghg.emissions.mio.tonnes","total.ghg.emissions.mio.tonnes","transport.ghg.emissions.mio.tonnes","waste.ghg.emissions.mio.tonnes"
"Sweden",2035,5.42,8.63,6.02,43.58,13.11,0.63
"United Kingdom",2014,44.56,152.16,34.92,523.66,115.47,18.88
"United Kingdom",2015,43.87,142.32,33.66,508.8,114.76,18.93
"United Kingdom",2016,43.69,104.45,31.31,472.28,117.11,17.36
"United Kingdom",2017,43.36,107.89,29.84,475.53,116.11,16.09
"United Kingdom",2018,43.01,96.68,28.41,460.53,115.51,14.99
"United Kingdom",2019,42.72,90.43,27.47,451.82,114.83,14.61
"United Kingdom",2020,42.4,80.05,26.63,436.15,113.98,14.25
"United Kingdom",2021,42.05,78.28,25.78,433.32,113.17,13.9
"United Kingdom",2022,41.67,65.81,25,417.2,112.54,13.63
"United Kingdom",2023,41.36,65.18,24.12,413.33,111.96,13.4
"United Kingdom",2024,41.29,66.98,23.14,414.07,111.36,13.21
"United Kingdom",2025,41.21,64.04,22.45,405.3,110.46,13.05
"United Kingdom",2026,41.21,60.2,21.77,401.28,109.95,12.93
"United Kingdom",2027,41.21,58.77,21.13,397.44,109.4,12.82
"United Kingdom",2028,41.21,62.16,20.51,398.65,108.76,12.74
"United Kingdom",2029,41.21,65.16,19.86,403.13,108.4,12.68
"United Kingdom",2030,41.21,69.32,19.22,403.11,107.98,12.63
"United Kingdom",2031,41.21,72.19,18.61,402.03,107.57,12.59
"United Kingdom",2032,41.21,72.11,18.09,403.62,107.42,12.54
"United Kingdom",2033,41.21,72.47,17.74,402.02,107.3,12.51
"United Kingdom",2034,41.21,72.96,17.53,404.75,106.99,12.47
"United Kingdom",2035,41.21,70.39,17.38,401.67,106.89,12.44
