"year","country.name","agriculture.ghg.emissions.mio.tonnes","energy.ghg.emissions.mio.tonnes","industry.ghg.emissions.mio.tonnes","total.ghg.emissions.mio.tonnes","transport.ghg.emissions.mio.tonnes","waste.ghg.emissions.mio.tonnes","ghg.emissions.indexed","ghg.emissions.per.capita.tonnes","EU28.agriculture.ghg.emissions.mio.tonnes","EU28.energy.ghg.emissions.mio.tonnes","EU28.industry.ghg.emissions.mio.tonnes","EU28.total.ghg.emissions.mio.tonnes","EU28.transport.ghg.emissions.mio.tonnes","EU28.waste.ghg.emissions.mio.tonnes","EU28.ghg.emissions.indexed","EU28.ghg.emissions.per.capita.tonnes","agriculture.ghg.emissions.national.share","energy.ghg.emissions.national.share","industry.ghg.emissions.national.share","transport.ghg.emissions.national.share","waste.ghg.emissions.national.share","agriculture.ghg.emissions.EU28.share","energy.ghg.emissions.EU28.share","industry.ghg.emissions.EU28.share","total.ghg.emissions.EU28.share","transport.ghg.emissions.EU28.share","waste.ghg.emissions.EU28.share"
2005,"Greece",9,58.3,15.4,136.3,21.9,4.8,131.5,12.6,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.066,0.4277,0.113,0.1607,0.0352,0.0205,0.0365,0.0331,0.0261,0.0224,0.0238
2006,"Greece",8.9,56.1,12.7,132.4,22.6,4.9,128,12.3,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.0672,0.4237,0.0959,0.1707,0.037,0.0205,0.0348,0.0273,0.0254,0.0229,0.025
2007,"Greece",9,59.6,13.2,135,23.2,4.8,130.7,12.5,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.0667,0.4415,0.0978,0.1719,0.0356,0.0206,0.0368,0.0277,0.0262,0.0233,0.0254
2008,"Greece",8.7,58.2,13,131.7,22.5,4.8,127.5,12.2,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.0661,0.4419,0.0987,0.1708,0.0364,0.0201,0.0376,0.0288,0.0261,0.0232,0.0265
2009,"Greece",8.5,54.7,11.3,124.5,25.3,4.5,120.5,11.5,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.0683,0.4394,0.0908,0.2032,0.0361,0.0199,0.0384,0.03,0.0266,0.0268,0.0257
2010,"Greece",8.8,52.2,11.7,118.4,22.5,4.8,114.6,10.9,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.0743,0.4409,0.0988,0.19,0.0405,0.0208,0.036,0.0297,0.0248,0.024,0.0286
2011,"Greece",8.6,54,10.4,115.5,20.1,4.6,111.9,10.6,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0.0745,0.4675,0.09,0.174,0.0398,0.0203,0.0379,0.0267,0.025,0.0217,0.0284
2012,"Greece",8.5,54.7,11.2,112.1,16.7,4.3,108.4,10.4,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0.0758,0.488,0.0999,0.149,0.0384,0.0202,0.0386,0.0297,0.0246,0.0186,0.0272
2013,"Greece",8.4,49.4,12,102.5,16.5,4.4,99.4,9.6,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0.082,0.482,0.1171,0.161,0.0429,0.0198,0.0368,0.032,0.0229,0.0186,0.0291
2014,"Greece",8,45.9,12.3,99.1,16.5,4.5,96.5,9.4,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0.0807,0.4632,0.1241,0.1665,0.0454,0.0185,0.0365,0.0323,0.0231,0.0184,0.0309
2015,"Greece",7.8,40.9,12,95.3,17.1,4.5,93,9.1,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0.0818,0.4292,0.1259,0.1794,0.0472,0.018,0.0328,0.0319,0.022,0.0187,0.0314
2016,"Greece",7.9,37,12.5,91.7,17.4,4.5,89.7,8.8,434.8,1197.9,373.7,4303.4,932.5,140.1,77.6,8.7,0.0862,0.4035,0.1363,0.1897,0.0491,0.0182,0.0309,0.0334,0.0213,0.0187,0.0321
1990,"Hungary",9.9,20.9,11.8,93.7,8.9,3.8,100,9.1,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0.1057,0.2231,0.1259,0.095,0.0406,0.0182,0.0125,0.0228,0.0166,0.0112,0.0158
1991,"Hungary",8.3,21.7,8.1,87,7.8,3.9,92.8,8.4,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0.0954,0.2494,0.0931,0.0897,0.0448,0.0162,0.0132,0.0168,0.0157,0.0097,0.016
1992,"Hungary",7.1,22.5,6.3,77,7.5,3.9,82.2,7.5,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0.0922,0.2922,0.0818,0.0974,0.0506,0.0145,0.0142,0.0136,0.0143,0.0091,0.0158
1993,"Hungary",6.3,23,7.2,77.9,7.5,3.9,83.1,7.6,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0.0809,0.2953,0.0924,0.0963,0.0501,0.0132,0.0152,0.0158,0.0147,0.0091,0.0158
1994,"Hungary",6.2,22.2,8.7,76.7,7.4,4,82.1,7.5,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0.0808,0.2894,0.1134,0.0965,0.0522,0.0132,0.0146,0.018,0.0146,0.0089,0.0162
1995,"Hungary",5.9,22.7,8.3,75.3,7.5,4,80.7,7.4,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0.0784,0.3015,0.1102,0.0996,0.0531,0.0125,0.0149,0.0167,0.0142,0.0089,0.0162
1996,"Hungary",6,23,8.6,77.6,7.5,4,83.1,7.6,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0.0773,0.2964,0.1108,0.0966,0.0515,0.0127,0.0148,0.0172,0.0143,0.0086,0.0162
1997,"Hungary",5.9,25.1,8,76.1,7.9,4.1,81.5,7.5,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0.0775,0.3298,0.1051,0.1038,0.0539,0.0125,0.0166,0.0158,0.0143,0.0089,0.0168
1998,"Hungary",6.1,26.7,7.6,75.7,8.8,4.1,81.1,7.4,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0.0806,0.3527,0.1004,0.1162,0.0542,0.013,0.0175,0.0158,0.0143,0.0096,0.0171
1999,"Hungary",6.2,26.4,7.5,76.1,9.2,4.2,81.6,7.5,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0.0815,0.3469,0.0986,0.1209,0.0552,0.0133,0.0178,0.0169,0.0147,0.0099,0.0179
2000,"Hungary",6.1,23.8,8.2,73.2,9.1,4.2,78.6,7.3,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0.0833,0.3251,0.112,0.1243,0.0574,0.0132,0.0157,0.018,0.0142,0.0098,0.0181
2001,"Hungary",6.3,24.1,8.2,75.2,9.6,4.2,80.8,7.5,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0.0838,0.3205,0.109,0.1277,0.0559,0.0138,0.0155,0.0186,0.0144,0.0102,0.0185
2002,"Hungary",6.3,22.5,7.6,73.6,10.2,4.3,78.9,7.3,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0.0856,0.3057,0.1033,0.1386,0.0584,0.0141,0.0143,0.0174,0.0142,0.0107,0.0192
2003,"Hungary",6.1,23.7,7.8,76.6,10.7,4.4,82.3,7.7,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0.0796,0.3094,0.1018,0.1397,0.0574,0.0137,0.0146,0.0173,0.0145,0.0111,0.0202
2004,"Hungary",6.4,21.9,8.5,75.6,11.1,4.2,81.3,7.6,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0.0847,0.2897,0.1124,0.1468,0.0556,0.0144,0.0136,0.0182,0.0144,0.0113,0.0201
2005,"Hungary",6.1,20,9.1,75.4,12,4.2,81.2,7.6,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.0809,0.2653,0.1207,0.1592,0.0557,0.0139,0.0125,0.0195,0.0144,0.0123,0.0208
2006,"Hungary",6.1,20.3,8.7,74.1,12.8,4.2,80,7.5,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.0823,0.274,0.1174,0.1727,0.0567,0.014,0.0126,0.0187,0.0142,0.013,0.0215
2007,"Hungary",6,21.4,8.5,72.4,13.1,4.2,78.1,7.3,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.0829,0.2956,0.1174,0.1809,0.058,0.0137,0.0132,0.0179,0.014,0.0132,0.0222
2008,"Hungary",6.1,20.5,7.3,70.6,13,4.2,76.2,7.2,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.0864,0.2904,0.1034,0.1841,0.0595,0.0141,0.0132,0.0162,0.014,0.0134,0.0232
2009,"Hungary",5.7,17.4,6.3,64.6,13,4.2,69.7,6.6,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.0882,0.2693,0.0975,0.2012,0.065,0.0133,0.0122,0.0167,0.0138,0.0138,0.024
2010,"Hungary",5.6,18,6.4,64.9,11.6,4.1,70.1,6.6,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.0863,0.2773,0.0986,0.1787,0.0632,0.0132,0.0124,0.0162,0.0136,0.0124,0.0244
2011,"Hungary",5.9,17.3,6.5,63.4,11.1,4,68.4,6.5,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0.0931,0.2729,0.1025,0.1751,0.0631,0.0139,0.0121,0.0167,0.0137,0.012,0.0247
2012,"Hungary",5.9,16.7,6.1,59.6,10.7,3.9,64.3,6.1,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0.099,0.2802,0.1023,0.1795,0.0654,0.014,0.0118,0.0162,0.0131,0.0119,0.0247
2013,"Hungary",6.3,14.1,5.5,56.8,10,3.7,61.3,5.8,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0.1109,0.2482,0.0968,0.1761,0.0651,0.0148,0.0105,0.0147,0.0127,0.0113,0.0245
2014,"Hungary",6.5,13.4,6.5,57.4,11.2,3.6,62,5.9,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0.1132,0.2334,0.1132,0.1951,0.0627,0.015,0.0107,0.017,0.0134,0.0125,0.0247
2015,"Hungary",6.7,13.8,7.3,60.8,12.2,3.5,65.3,6.3,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0.1102,0.227,0.1201,0.2007,0.0576,0.0154,0.0111,0.0194,0.0141,0.0134,0.0244
2016,"Hungary",6.9,13.6,6.4,61.1,12.5,3.4,65.8,6.3,434.8,1197.9,373.7,4303.4,932.5,140.1,77.6,8.7,0.1129,0.2226,0.1047,0.2046,0.0556,0.0159,0.0114,0.0171,0.0142,0.0134,0.0243
1990,"Iceland",0.6,0,1,3.6,0.6,0.2,100,15.1,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0.1667,0,0.2778,0.1667,0.0556,0.0011,0,0.0019,6e-04,8e-04,8e-04
1991,"Iceland",0.6,0,0.8,3.4,0.6,0.2,94.4,14.1,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0.1765,0,0.2353,0.1765,0.0588,0.0012,0,0.0017,6e-04,7e-04,8e-04
1992,"Iceland",0.6,0,0.6,3.3,0.6,0.2,91.5,13.5,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0.1818,0,0.1818,0.1818,0.0606,0.0012,0,0.0013,6e-04,7e-04,8e-04
1993,"Iceland",0.6,0,0.6,3.4,0.6,0.2,93.5,13.7,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0.1765,0,0.1765,0.1765,0.0588,0.0013,0,0.0013,6e-04,7e-04,8e-04
1994,"Iceland",0.6,0,0.5,3.3,0.6,0.2,92,13.3,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0.1818,0,0.1515,0.1818,0.0606,0.0013,0,0.001,6e-04,7e-04,8e-04
1995,"Iceland",0.5,0,0.6,3.4,0.6,0.2,95.8,13.8,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0.1471,0,0.1765,0.1765,0.0588,0.0011,0,0.0012,6e-04,7e-04,8e-04
1996,"Iceland",0.6,0,0.5,3.5,0.6,0.2,98,14,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0.1714,0,0.1429,0.1714,0.0571,0.0013,0,0.001,6e-04,7e-04,8e-04
1997,"Iceland",0.6,0,0.7,3.6,0.6,0.2,102.9,14.6,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0.1667,0,0.1944,0.1667,0.0556,0.0013,0,0.0014,7e-04,7e-04,8e-04
1998,"Iceland",0.6,0,0.8,3.8,0.6,0.3,108.4,15.2,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0.1579,0,0.2105,0.1579,0.0789,0.0013,0,0.0017,7e-04,7e-04,0.0012
1999,"Iceland",0.6,0,1,4,0.7,0.3,114.8,16,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0.15,0,0.25,0.175,0.075,0.0013,0,0.0023,8e-04,8e-04,0.0013
2000,"Iceland",0.6,0,1,4,0.7,0.3,116.1,15.9,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0.15,0,0.25,0.175,0.075,0.0013,0,0.0022,8e-04,8e-04,0.0013
2001,"Iceland",0.6,0,1,3.9,0.7,0.3,111.9,15.1,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0.1538,0,0.2564,0.1795,0.0769,0.0013,0,0.0023,7e-04,7e-04,0.0013
2002,"Iceland",0.5,0,1,4,0.7,0.3,112.7,15.1,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0.125,0,0.25,0.175,0.075,0.0011,0,0.0023,8e-04,7e-04,0.0013
2003,"Iceland",0.5,0,1,4,0.8,0.3,112.8,15,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0.125,0,0.25,0.2,0.075,0.0011,0,0.0022,8e-04,8e-04,0.0014
2004,"Iceland",0.5,0,1,4.1,0.8,0.3,116.7,15.4,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0.122,0,0.2439,0.1951,0.0732,0.0011,0,0.0021,8e-04,8e-04,0.0014
2005,"Iceland",0.5,0,1,3.9,0.8,0.3,114.1,14.8,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.1282,0,0.2564,0.2051,0.0769,0.0011,0,0.0021,7e-04,8e-04,0.0015
2006,"Iceland",0.5,0,1.4,4.5,1,0.3,131.8,16.7,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.1111,0,0.3111,0.2222,0.0667,0.0012,0,0.003,9e-04,0.001,0.0015
2007,"Iceland",0.6,0,1.6,4.9,1,0.3,140,17.3,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.1224,0,0.3265,0.2041,0.0612,0.0014,0,0.0034,9e-04,0.001,0.0016
2008,"Iceland",0.6,0,2.1,5.2,1,0.3,147.9,18,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.1154,0,0.4038,0.1923,0.0577,0.0014,0,0.0047,0.001,0.001,0.0017
2009,"Iceland",0.6,0,1.9,4.9,0.9,0.3,137.7,16.7,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.1224,0,0.3878,0.1837,0.0612,0.0014,0,0.005,0.001,0.001,0.0017
2010,"Iceland",0.5,0,2,4.8,0.9,0.3,136.4,16.5,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.1042,0,0.4167,0.1875,0.0625,0.0012,0,0.0051,0.001,0.001,0.0018
2011,"Iceland",0.5,0,1.8,4.6,0.9,0.3,130.7,15.8,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0.1087,0,0.3913,0.1957,0.0652,0.0012,0,0.0046,0.001,0.001,0.0019
2012,"Iceland",0.5,0,1.9,4.6,0.8,0.2,131.9,15.9,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0.1087,0,0.413,0.1739,0.0435,0.0012,0,0.005,0.001,9e-04,0.0013
2013,"Iceland",0.5,0,2,4.6,0.9,0.3,133.3,15.9,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0.1087,0,0.4348,0.1957,0.0652,0.0012,0,0.0053,0.001,0.001,0.002
2014,"Iceland",0.6,0,1.9,4.6,0.9,0.2,135.6,16,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0.1304,0,0.413,0.1957,0.0435,0.0014,0,0.005,0.0011,0.001,0.0014
2015,"Iceland",0.6,0,2,4.7,0.9,0.2,140.8,16.4,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0.1277,0,0.4255,0.1915,0.0426,0.0014,0,0.0053,0.0011,0.001,0.0014
2016,"Iceland",0.6,0,2,4.6,1,0.2,145.1,16.7,434.8,1197.9,373.7,4303.4,932.5,140.1,77.6,8.7,0.1304,0,0.4348,0.2174,0.0435,0.0014,0,0.0054,0.0011,0.0011,0.0014
1990,"Ireland",19.5,11.2,3.3,55.4,5.2,1.5,100,16.1,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0.352,0.2022,0.0596,0.0939,0.0271,0.0359,0.0067,0.0064,0.0098,0.0066,0.0062
1991,"Ireland",19.6,11.7,3,56.1,5.3,1.6,101.1,16.2,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0.3494,0.2086,0.0535,0.0945,0.0285,0.0383,0.0071,0.0062,0.0101,0.0066,0.0066
1992,"Ireland",19.6,12.3,2.9,56,5.8,1.7,100.6,16,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0.35,0.2196,0.0518,0.1036,0.0304,0.04,0.0078,0.0062,0.0104,0.007,0.0069
1993,"Ireland",19.7,12.4,2.9,56.4,5.7,1.7,102.1,16.2,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0.3493,0.2199,0.0514,0.1011,0.0301,0.0413,0.0082,0.0064,0.0107,0.0069,0.0069
1994,"Ireland",19.8,12.7,3.2,57.7,6,1.8,104.2,16.4,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0.3432,0.2201,0.0555,0.104,0.0312,0.042,0.0083,0.0066,0.011,0.0072,0.0073
1995,"Ireland",20.2,13.4,3.3,59.2,6.3,1.8,106.7,16.7,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0.3412,0.2264,0.0557,0.1064,0.0304,0.0427,0.0088,0.0066,0.0112,0.0074,0.0073
1996,"Ireland",20.6,14.1,3.5,61.3,7.3,1.7,110.2,17.1,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0.3361,0.23,0.0571,0.1191,0.0277,0.0435,0.0091,0.007,0.0113,0.0084,0.0069
1997,"Ireland",20.7,14.8,4,62.7,7.7,1.4,113,17.4,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0.3301,0.236,0.0638,0.1228,0.0223,0.0439,0.0098,0.0079,0.0118,0.0087,0.0057
1998,"Ireland",21.1,15.1,3.9,65.2,9.1,1.5,117.5,17.9,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0.3236,0.2316,0.0598,0.1396,0.023,0.0451,0.0099,0.0081,0.0123,0.01,0.0062
1999,"Ireland",20.7,15.8,4,66.3,9.8,1.5,120,18.1,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0.3122,0.2383,0.0603,0.1478,0.0226,0.0444,0.0107,0.009,0.0128,0.0105,0.0064
2000,"Ireland",19.7,16.1,4.8,68.5,10.8,1.5,124.4,18.5,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0.2876,0.235,0.0701,0.1577,0.0219,0.0427,0.0107,0.0105,0.0133,0.0117,0.0065
2001,"Ireland",19.4,17.3,4.9,70.5,11.3,1.6,128.6,18.8,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0.2752,0.2454,0.0695,0.1603,0.0227,0.0426,0.0111,0.0111,0.0135,0.012,0.007
2002,"Ireland",19,16.4,4.3,68.4,11.5,1.7,125.2,18,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0.2778,0.2398,0.0629,0.1681,0.0249,0.0424,0.0104,0.0098,0.0132,0.0121,0.0076
2003,"Ireland",19.3,15.7,3.6,68.7,11.7,1.8,125.5,17.8,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0.2809,0.2285,0.0524,0.1703,0.0262,0.0435,0.0097,0.008,0.013,0.0122,0.0083
2004,"Ireland",19,15.3,3.7,68,12.4,1.5,124.1,17.2,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0.2794,0.225,0.0544,0.1824,0.0221,0.0427,0.0095,0.0079,0.0129,0.0127,0.0072
2005,"Ireland",18.7,15.8,3.8,69.5,13.1,1.3,127.4,17.3,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.2691,0.2273,0.0547,0.1885,0.0187,0.0427,0.0099,0.0082,0.0133,0.0134,0.0064
2006,"Ireland",18.3,15.1,3.9,68.8,13.8,1.3,126.8,16.8,434.3,1610.2,464.7,5214.5,986,195.8,93.4,10.7,0.266,0.2195,0.0567,0.2006,0.0189,0.0421,0.0094,0.0084,0.0132,0.014,0.0066
2007,"Ireland",18.1,14.6,3.9,68,14.4,0.8,125.8,16.2,436.7,1619.7,476,5162.4,995.4,189.1,92.7,10.6,0.2662,0.2147,0.0574,0.2118,0.0118,0.0414,0.009,0.0082,0.0132,0.0145,0.0042
2008,"Ireland",17.8,14.7,3.5,67.3,13.7,0.7,124.1,15.6,433.9,1548.1,450.8,5047,970.7,181.1,90.6,10.3,0.2645,0.2184,0.052,0.2036,0.0104,0.041,0.0095,0.0078,0.0133,0.0141,0.0039
2009,"Ireland",17.6,13.1,2.7,61.5,12.5,0.5,112.9,14.1,427.8,1424.2,376.8,4681.9,943.2,175.1,84,9.6,0.2862,0.213,0.0439,0.2033,0.0081,0.0411,0.0092,0.0072,0.0131,0.0133,0.0029
2010,"Ireland",17.7,13.4,2.5,61.1,11.5,0.5,112.4,13.9,423.4,1450.9,394.3,4783.6,937.6,167.8,85.8,9.7,0.2897,0.2193,0.0409,0.1882,0.0082,0.0418,0.0092,0.0063,0.0128,0.0123,0.003
2011,"Ireland",17.1,12,2.3,57,11.2,0.6,104.7,12.9,423.9,1425.2,389.8,4626.4,925.5,162.1,83.1,9.4,0.3,0.2105,0.0404,0.1965,0.0105,0.0403,0.0084,0.0059,0.0123,0.0121,0.0037
2012,"Ireland",17.5,12.8,2.6,57.6,10.8,0.5,105.2,12.9,421.7,1417.9,377.3,4563.1,896,157.9,82,9.3,0.3038,0.2222,0.0451,0.1875,0.0087,0.0415,0.009,0.0069,0.0126,0.0121,0.0032
2013,"Ireland",18.5,11.4,2.5,57.4,11.1,0.7,105.4,12.9,425.2,1342.3,375.3,4468.9,888.7,151.2,80.4,9.1,0.3223,0.1986,0.0436,0.1934,0.0122,0.0435,0.0085,0.0067,0.0128,0.0125,0.0046
2014,"Ireland",18.3,11.2,2.9,57.1,11.3,0.9,105.3,12.8,432.9,1258.2,381.3,4297.6,896.1,145.5,77.4,8.7,0.3205,0.1961,0.0508,0.1979,0.0158,0.0423,0.0089,0.0076,0.0133,0.0126,0.0062
2015,"Ireland",18.5,11.8,3.1,59.2,11.8,0.9,109.6,13.2,433.8,1245.2,376.7,4327.3,913.3,143.2,78,8.8,0.3125,0.1993,0.0524,0.1993,0.0152,0.0426,0.0095,0.0082,0.0137,0.0129,0.0063
2016,"Ireland",19,12.5,3.3,61.3,12.3,1,113.4,13.5,434.8,1197.9,373.7,4303.4,932.5,140.1,77.6,8.7,0.31,0.2039,0.0538,0.2007,0.0163,0.0437,0.0104,0.0088,0.0142,0.0132,0.0071
1990,"Italy",34.7,137.2,40.5,517.7,102.2,17.3,100,9.2,543.3,1675.7,517.2,5649.5,793.2,240.4,100,12,0.067,0.265,0.0782,0.1974,0.0334,0.0639,0.0819,0.0783,0.0916,0.1288,0.072
1991,"Italy",35.4,132.7,40,518.9,104.9,18,100.5,9.3,512.1,1641.5,482.5,5555,800.4,244,98.3,11.8,0.0682,0.2557,0.0771,0.2022,0.0347,0.0691,0.0808,0.0829,0.0934,0.1311,0.0738
1992,"Italy",34.8,131.5,39.4,515.5,110,18.4,100,9.2,489.6,1582.7,464,5379.8,823.9,246.1,95.3,11.4,0.0675,0.2551,0.0764,0.2134,0.0357,0.0711,0.0831,0.0849,0.0958,0.1335,0.0748
1993,"Italy",35.2,125.8,36.5,509.4,111.7,18.8,98.7,9.1,477.2,1515.7,455.4,5281.5,828.3,247,93.6,11.1,0.0691,0.247,0.0717,0.2193,0.0369,0.0738,0.083,0.0801,0.0964,0.1349,0.0761
1994,"Italy",34.8,127.9,35.1,503.5,111.5,19.5,97.5,9,471.2,1522.5,483.3,5255.3,834.9,246.6,93.2,11.1,0.0691,0.254,0.0697,0.2214,0.0387,0.0739,0.084,0.0726,0.0958,0.1335,0.0791
1995,"Italy",34.7,141.7,38.4,532.4,114.3,20,103,9.5,472.6,1524.1,498.4,5308.5,847.3,247.4,94.2,11.2,0.0652,0.2662,0.0721,0.2147,0.0376,0.0734,0.093,0.077,0.1003,0.1349,0.0808
1996,"Italy",34.5,136.5,35.3,525.3,116.1,20.7,101.6,9.3,474.1,1553.4,499.6,5418.7,873.6,246.6,96.2,11.4,0.0657,0.2599,0.0672,0.221,0.0394,0.0728,0.0879,0.0707,0.0969,0.1329,0.0839
1997,"Italy",35.1,138.3,35.9,531.9,118,21.3,102.9,9.5,471.1,1508.7,505.1,5326.3,884.9,243.6,94.5,11.2,0.066,0.26,0.0675,0.2218,0.04,0.0745,0.0917,0.0711,0.0999,0.1333,0.0874
1998,"Italy",34.5,148.7,36.5,543.1,122.4,21.1,105.1,9.7,468.2,1525.5,482.4,5281.5,914.1,240.2,93.8,11,0.0635,0.2738,0.0672,0.2254,0.0389,0.0737,0.0975,0.0757,0.1028,0.1339,0.0878
1999,"Italy",34.8,144.8,37,548.2,123.8,21.1,106.2,9.7,466.6,1480.3,442.9,5172.6,932.1,234.7,92,10.8,0.0635,0.2641,0.0675,0.2258,0.0385,0.0746,0.0978,0.0835,0.106,0.1328,0.0899
2000,"Italy",33.9,149.5,39.2,554.1,123.8,21.9,107.6,9.9,461.3,1511.2,455.6,5168.9,926.9,231.5,92.3,10.8,0.0612,0.2698,0.0707,0.2234,0.0395,0.0735,0.0989,0.086,0.1072,0.1336,0.0946
2001,"Italy",33.4,153.1,41.1,561.2,125.6,23.2,108.9,10,455,1553.5,440.4,5223.1,940,227.4,93.3,10.9,0.0595,0.2728,0.0732,0.2238,0.0413,0.0734,0.0986,0.0933,0.1074,0.1336,0.102
2002,"Italy",32.8,159.9,41.5,561.2,128,22.4,108.7,10,448,1570.5,436.6,5182.9,951.3,223.5,92.4,10.8,0.0584,0.2849,0.0739,0.2281,0.0399,0.0732,0.1018,0.0951,0.1083,0.1346,0.1002
2003,"Italy",32.7,161.2,43.2,575.7,128.1,22.3,111.8,10.2,444,1620.7,450.4,5265.6,960.3,217.4,94,10.9,0.0568,0.28,0.075,0.2225,0.0387,0.0736,0.0995,0.0959,0.1093,0.1334,0.1026
2004,"Italy",32.5,161.7,46.3,580,129.8,21.7,112.6,10.2,444.7,1609.2,466.9,5265.4,979.6,208.9,94.1,10.9,0.056,0.2788,0.0798,0.2238,0.0374,0.0731,0.1005,0.0992,0.1102,0.1325,0.1039
2005,"Italy",31.9,157.5,47.2,580.6,128.4,21.9,112.8,10.2,438,1599.2,465.8,5228.4,978.8,202,93.6,10.8,0.0549,0.2713,0.0813,0.2212,0.0377,0.0728,0.0985,0.1013,0.111,0.1312,0.1084
